PGC,Name,RA,Dec,DCom,T,B.T,armC,armS,armR,barL,iRing,oRing,pRing,Pert,vDust,pDust,floc,spot,inc
28240,NGC3015,147.3457,1.1449,107.2,3,0.75,0.25,0.75,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.75,0.75,0.00,0.25
28259,NGC3011,147.4225,32.2205,23.7,0,0.75,0.00,NA,NA,0.00,0.75,0.50,0.00,0.00,0.50,0.50,0.50,0.25,0.25
28269,NGC3016,147.4616,12.6947,127.9,3,0.50,0.50,0.75,0.00,0.00,0.25,0.00,0.00,0.25,0.50,0.50,0.75,0.00,0.25
28270,NGC3012,147.4674,34.7141,167.2,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
28274,UGC05267,147.4702,9.0954,80.6,3,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.50,0.25,0.00,1.00
28296,NGC3020,147.5275,12.8139,21.0,6,0.00,0.75,0.25,1.00,0.75,0.25,0.00,0.00,0.50,0.25,NA,0.75,0.50,0.50
28305,PGC028305,147.5458,28.0131,22.2,10,0.00,0.00,NA,NA,0.00,0.00,NA,NA,0.75,0.00,NA,0.50,0.75,0.25
28317,UGC05272,147.5934,31.4879,9.2,10,0.00,0.00,NA,NA,0.75,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.75
28324,NGC3024,147.6139,12.7657,20.8,9,0.25,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.75,0.50,1.00
28328,UGC05260,147.6516,64.4879,44.0,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.50,0.25,0.00,1.00
28351,NGC3026,147.7305,28.5508,22.9,7,0.25,0.50,NA,NA,0.50,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.25,0.75
28352,UGC05284,147.7466,4.2731,72.1,8,0.25,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.25
28353,UGC05268,147.7343,62.1855,108.2,2,0.50,0.50,0.75,NA,0.00,0.00,0.25,0.00,0.00,0.50,0.25,0.25,0.00,0.75
28357,NGC3021,147.7393,33.5540,24.0,3,0.50,0.25,0.25,1.00,0.00,0.00,0.00,0.00,0.25,0.75,0.75,1.00,0.25,0.50
28366,UGC05286,147.7756,9.0082,74.3,6,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,1.00,0.25,0.25
28370,UGC05282,147.7926,33.1310,24.2,10,0.00,0.00,0.25,NA,0.00,0.00,0.00,0.00,0.75,0.00,NA,0.25,0.25,0.50
28378,UGC05288,147.8209,7.8287,8.1,10,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.50,0.25
28383,UGC05283,147.8558,44.9234,68.9,7,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.25,0.25
28390,UGC05287,147.8678,32.9431,22.9,8,0.00,0.25,0.00,0.75,0.50,0.00,0.00,0.00,0.75,0.25,NA,0.75,0.00,0.25
28408,PGC028408,147.9329,1.4461,25.9,10,0.00,0.00,NA,NA,NA,0.00,0.00,0.00,1.00,0.25,NA,0.75,0.50,0.25
28414,UGC05291,147.9730,12.9444,175.8,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
28420,UGC05290,148.0173,40.8581,73.6,1,0.50,0.25,0.00,0.00,0.50,1.00,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.25
28424,NGC3032,148.0342,29.2368,23.7,-1,0.75,0.00,NA,NA,0.00,0.75,0.00,0.00,0.25,0.75,0.50,0.25,0.00,0.25
28452,NGC3039,148.1238,2.1539,71.1,3,0.50,0.25,0.50,0.00,0.25,0.25,0.25,0.25,0.25,0.50,0.50,0.50,0.00,0.50
28463,UGC05299,148.1725,-0.1846,41.2,10,0.00,NA,NA,NA,0.25,0.00,NA,NA,0.50,0.00,NA,0.50,0.00,1.00
28470,UGC05295,148.2267,42.8478,70.6,3,0.50,0.50,0.25,1.00,0.75,0.00,0.00,0.00,0.25,0.50,0.25,0.50,0.25,0.25
28489,UGC05296,148.2982,58.4782,24.8,9,0.00,0.25,0.25,NA,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.25
28495,UGC05301,148.3367,42.8453,71.5,7,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.75,0.50,0.25,1.00
28498,NGC3042,148.3337,0.6975,53.4,1,0.75,NA,NA,NA,0.50,0.50,NA,NA,0.00,0.75,0.00,0.00,0.00,1.00
28517,NGC3044,148.4210,1.5793,18.2,5,0.25,NA,NA,NA,NA,NA,NA,NA,0.50,0.75,0.50,0.50,0.25,1.00
28520,UGC05312,148.4321,2.3742,89.3,4,0.25,NA,NA,NA,NA,NA,NA,NA,0.25,0.75,0.25,0.50,0.25,1.00
28531,UGC05314,148.4629,8.8779,91.5,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
28542,UGC05306,148.5377,58.3408,20.5,9,0.00,0.00,0.25,0.75,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.50,0.25
28551,UGC05315,148.5607,37.2985,83.2,7,0.25,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,0.50,0.00,1.00
28563,UGC05302,148.5917,68.3331,66.0,7,0.25,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,1.00,0.25,0.00
28590,NGC3049,148.7073,9.2713,21.2,6,0.25,0.25,0.25,0.00,1.00,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.50,0.25
28617,NGC3055,148.8252,4.2701,25.9,3,0.50,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.25,0.75,0.75,1.00,0.25,0.25
28623,UGC05326,148.8530,33.2631,22.0,9,0.00,0.25,0.25,NA,0.00,0.00,0.00,0.00,0.75,0.25,NA,1.00,0.75,0.00
28627,PGC028627,148.8729,8.3911,18.4,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.75,0.25,NA,0.50,0.25,0.25
28630,NGC3031,148.8882,69.0653,3.0,2,0.75,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.25
28645,UGC05331,148.9442,32.4299,94.0,4,0.25,0.25,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.50
28655,NGC3034,148.9675,69.6802,6.9,1,0.50,0.00,NA,NA,0.00,NA,NA,NA,0.50,0.75,0.75,0.50,0.00,0.75
28672,NGC3043,149.0600,59.3069,45.9,6,0.25,0.75,NA,NA,0.75,0.00,NA,NA,0.25,0.50,0.75,0.75,0.25,0.75
28699,NGC3062,149.1490,1.4285,117.1,2,0.75,0.00,NA,NA,0.00,0.00,0.50,0.00,0.00,0.25,0.25,0.25,0.00,0.50
28714,UGC05340,149.1917,28.8261,8.8,10,0.00,0.25,NA,NA,0.00,0.00,0.00,0.00,1.00,0.00,NA,0.50,0.50,0.75
28741,UGC05347,149.3191,4.5281,30.4,8,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.75,0.50,0.25,1.00
28757,UGC05336,149.3837,69.0461,4.3,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.75,0.00,NA,0.25,0.50,0.25
28789,UGC05348,149.5048,47.3243,10.1,10,0.00,NA,NA,NA,NA,0.00,NA,NA,0.50,0.25,NA,0.25,0.00,1.00
28796,NGC3070,149.5291,10.3595,76.8,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
28805,NGC3067,149.5881,32.3701,22.9,3,0.25,0.00,0.75,0.50,0.00,0.00,0.00,0.00,0.25,1.00,1.00,0.75,0.25,0.50
28809,UGC05355,149.6592,1.0573,196.6,3,0.50,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.50,0.25,0.25,0.25,0.75
28815,NGC3068,149.6675,28.8773,92.7,-2,0.75,0.00,NA,NA,0.00,0.00,0.00,0.00,0.25,0.50,0.00,0.00,0.00,0.50
28818,UGC05357,149.6740,5.2644,57.7,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.25,0.00,NA,0.50,0.00,1.00
28846,UGC05356,149.7885,50.9877,111.6,4,0.50,0.50,0.25,1.00,1.00,0.75,0.00,0.00,0.25,0.50,0.50,0.25,0.00,0.50
28852,UGC05365,149.8180,3.3137,55.1,8,0.00,0.25,0.00,NA,0.25,0.00,0.00,0.00,0.50,0.00,NA,0.25,0.00,0.25
28868,UGC05364,149.8602,30.7464,2.1,10,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.50,0.25
28888,NGC3074,149.9217,35.3928,75.3,5,0.50,0.50,0.75,0.00,0.00,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.00
28897,IC0585,149.9341,12.9882,101.9,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
28910,NGC3080,149.9831,13.0434,151.4,0,0.75,0.25,0.75,1.00,0.25,0.25,0.25,0.00,0.25,0.25,NA,0.50,0.00,0.00
28913,UGC05373,150.0002,5.3323,4.3,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.25,0.50
28939,UGC05376,150.1134,3.3741,29.1,5,0.50,NA,NA,NA,NA,NA,NA,NA,0.25,0.75,0.75,0.75,0.00,1.00
28947,UGC05377,150.1308,3.2050,30.4,8,0.25,0.25,0.25,0.25,0.25,0.00,0.25,0.00,0.25,0.25,NA,0.50,0.25,0.25
28949,UGC05378,150.1334,4.4075,59.1,3,0.25,0.50,0.50,1.00,0.00,0.25,0.00,0.00,0.00,0.75,0.75,0.50,0.00,0.50
28964,UGC05383,150.1885,4.7345,56.6,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
28974,NGC3073,150.2178,55.6189,20.3,-1,0.75,0.00,NA,0.50,0.00,0.50,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.00
28984,UGC05382,150.2631,36.6190,96.1,1,0.75,0.00,1.00,NA,0.00,0.25,0.25,0.00,0.00,0.50,0.25,0.00,0.00,0.50
29024,UGC05395,150.3967,12.7647,89.6,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
29030,UGC05389,150.4064,39.6270,101.4,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
29036,UGC05393,150.4250,33.1371,22.5,8,0.00,0.00,0.25,0.25,0.75,0.00,0.00,0.00,0.75,0.25,NA,0.75,0.50,0.25
29043,UGC05394,150.4500,36.4989,22.5,10,0.00,NA,NA,NA,NA,NA,NA,NA,0.25,0.00,NA,0.25,0.25,1.00
29050,NGC3079,150.4939,55.6806,19.0,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.25,0.75,1.00,0.75,0.25,1.00
29057,IC0588,150.5297,3.0575,99.7,2,0.50,0.00,0.75,0.50,0.75,1.00,0.25,0.75,0.00,0.25,NA,0.25,0.00,0.25
29061,UGC05400,150.5574,13.6964,100.0,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
29142,UGC05405,150.8120,53.9189,168.2,0,0.50,0.00,NA,NA,0.00,0.50,0.50,0.00,0.00,0.25,NA,0.25,0.00,0.50
29146,NGC3077,150.8335,68.7338,3.9,-1,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.25,0.25
29156,UGC05413,150.8735,13.1028,118.4,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.25,0.75,0.50,0.50,0.00,1.00
29172,UGC05406,150.9824,63.5865,104.6,6,0.25,0.25,NA,0.75,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.75
29174,UGC05410,150.9632,50.3479,139.3,7,0.25,0.75,0.25,0.00,0.00,0.00,0.00,0.00,0.75,0.25,NA,0.75,0.00,0.50
29186,NGC3104,150.9879,40.7560,10.9,9,0.00,0.00,0.00,NA,NA,0.00,0.00,0.00,0.75,0.25,NA,0.50,0.50,0.25
29196,NGC3106,151.0220,31.1858,90.0,1,0.75,0.25,0.75,0.25,0.00,0.25,0.25,0.00,0.25,0.25,NA,0.25,0.00,0.00
29205,UGC05424,151.0774,3.6876,124.1,6,0.25,0.75,0.25,1.00,0.25,0.25,0.00,0.00,0.00,0.25,NA,0.75,0.25,0.75
29206,UGC05417,151.0645,53.3927,147.1,3,0.75,0.00,0.25,1.00,0.50,0.50,0.25,0.50,0.00,0.25,NA,0.25,0.00,0.00
29209,NGC3107,151.0938,13.6214,40.6,3,0.50,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.50,0.75,0.50,1.00,0.00,0.25
29220,NGC3102,151.1326,60.1078,46.8,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
29229,UGC05421,151.1746,55.3111,19.0,10,0.00,NA,NA,NA,NA,0.00,NA,NA,0.00,0.25,NA,0.25,0.25,1.00
29230,UGC05427,151.1699,29.3644,8.8,9,0.00,0.00,0.25,NA,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.50,0.25
29237,UGC05422,151.1970,57.6018,191.2,3,0.50,0.25,0.25,0.00,1.00,0.25,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.00
29247,UGC05429,151.1920,44.7055,101.0,8,0.00,0.25,0.25,1.00,0.50,0.25,0.00,0.00,0.50,0.25,NA,0.50,0.50,0.00
29249,UGC05432,151.2249,5.0626,56.8,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
29261,UGC05430,151.2849,44.5143,114.8,6,0.25,NA,NA,NA,0.25,NA,NA,NA,0.25,0.75,0.50,0.50,0.00,1.00
29295,UGC05440,151.3992,4.2796,267.6,6,0.25,0.25,0.25,0.25,0.50,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.75
29338,NGC3111,151.5319,47.2620,108.0,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
29340,NGC3117,151.5440,2.9125,96.3,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
29365,UGC05446,151.6293,32.9467,21.4,9,0.00,0.00,0.25,0.75,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.00,0.75
29413,UGC05454,151.7960,12.6513,40.4,9,0.00,0.00,0.00,NA,0.25,0.00,0.00,0.00,0.75,0.25,NA,0.50,0.50,0.25
29415,NGC3118,151.7984,33.0276,21.0,8,0.25,NA,0.00,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,0.25,1.00
29427,UGC05451,151.8295,47.0058,11.8,9,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.50,0.50
29428,UGC05456,151.8321,10.3621,8.1,9,0.00,0.00,0.00,NA,NA,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.50,0.75
29459,UGC05461,151.9762,29.4605,70.0,7,0.25,0.50,0.25,NA,NA,0.00,NA,NA,0.50,0.50,0.50,0.50,0.00,0.75
29460,UGC05449,151.9930,68.3651,154.7,3,0.50,0.50,0.75,0.00,0.50,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.25
29468,UGC05464,152.0323,29.5420,16.0,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.25
29469,UGC05460,152.0385,51.8444,18.6,8,0.00,0.25,0.25,0.00,0.50,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.50,0.00
29472,UGC05459,152.0400,53.0839,19.0,5,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
29474,UGC05462,152.0487,42.4188,100.6,3,0.50,0.25,0.50,1.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50
29475,NGC3130,152.0517,9.9769,116.9,-2,0.75,0.00,NA,0.50,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
29484,NGC3126,152.0863,31.8623,75.7,3,0.50,0.25,NA,NA,0.25,0.00,NA,NA,0.00,0.75,0.50,0.25,0.00,0.75
29488,UGC05470,152.1172,12.3065,4.5,11,0.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
29496,IC0594,152.1335,-0.6672,91.0,4,0.25,0.25,0.75,0.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.00,0.50
29526,UGC05474,152.2565,32.4924,85.7,6,0.25,0.75,0.50,0.00,0.50,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.50,0.00
29539,UGC05476,152.3106,40.3517,101.6,4,0.50,0.75,0.25,1.00,1.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.00,0.00
29549,UGC05478,152.3821,30.1504,21.4,9,0.00,0.00,0.25,0.25,0.50,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.00
29550,UGC05475,152.3795,58.4506,34.6,8,0.25,0.25,0.25,1.00,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.50
29567,UGC05481,152.4647,30.3210,91.5,2,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,0.50,0.50,0.00,1.00
29595,UGC05480,152.5567,58.4889,33.8,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.75,0.00,NA,0.25,0.25,0.50
29603,UGC05482,152.5685,32.2769,22.9,9,0.00,0.00,0.25,NA,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.50,0.25
29614,UGC05487,152.6164,2.2276,92.3,6,0.25,0.75,0.25,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.25,0.50
29664,PGC029664,152.7720,1.2237,140.6,4,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.50,0.50,0.00,0.50
29671,UGC05493,152.8250,0.4423,51.5,5,0.25,0.50,0.50,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.25
29683,UGC05490,152.8762,30.7912,74.7,6,0.25,0.75,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.50,0.25
29696,UGC05491,152.9924,58.8646,132.6,3,0.50,0.25,0.75,0.00,0.25,0.25,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.50
29706,UGC05492,152.9785,59.7209,NA   ,1,0.50,0.00,NA,1.00,0.50,0.75,0.25,0.00,0.00,0.25,NA,0.25,0.00,0.75
29711,UGC05496,153.0350,46.2935,106.1,5,0.50,0.50,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.75
29730,NGC3156,153.1724,3.1292,19.0,-1,0.75,0.00,NA,NA,0.00,0.25,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.50
29745,IC0598,153.2030,43.1452,34.8,-2,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.75
29746,UGC05504,153.2047,7.1031,22.0,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.25,0.00,1.00
29747,NGC3153,153.2104,12.6666,40.6,6,0.25,0.50,0.25,1.00,0.25,0.00,0.00,0.00,0.50,0.50,0.50,1.00,0.50,0.50
29798,NGC3165,153.3808,3.3755,19.0,9,0.25,0.00,0.25,0.75,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.50
29805,NGC3152,153.3920,38.8431,93.4,0,0.75,0.25,0.50,1.00,0.75,0.25,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
29807,UGC05515,153.4098,-0.9249,187.8,-4,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
29814,NGC3166,153.4402,3.4246,18.8,0,0.75,0.00,NA,0.50,0.00,0.50,0.00,0.00,0.25,0.75,0.50,0.00,0.00,0.50
29822,NGC3158,153.4607,38.7645,101.6,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
29824,UGC05521,153.4694,0.5506,88.5,6,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.75,0.00,0.00
29835,UGC05522,153.4961,7.0235,17.5,8,0.25,0.25,0.50,0.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.50
29851,UGC05518,153.5450,39.4514,31.9,9,0.00,0.25,0.00,NA,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.00
29855,NGC3169,153.5617,3.4664,17.8,2,0.75,0.25,0.50,NA,0.00,0.25,0.25,0.00,0.75,1.00,0.50,0.50,0.25,0.25
29889,UGC05528,153.6656,-0.8304,208.0,2,0.50,0.25,0.50,1.00,0.25,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.25
29919,UGC05520,153.7525,65.1398,50.8,5,0.25,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.25
29943,UGC05533,153.8772,14.0412,146.3,5,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.75
29953,PGC029953,153.9262,55.6675,106.5,2,0.50,0.25,0.75,0.00,0.25,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.25
29956,UGC05537,153.9259,7.3277,53.8,6,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.50,0.00,1.00
29969,UGC05539,153.9800,2.6859,18.2,9,0.00,0.00,0.00,NA,0.25,0.00,0.00,0.00,0.75,0.25,NA,0.25,0.25,0.50
29983,UGC05534,154.0427,58.4271,112.0,3,0.50,0.25,0.50,0.00,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.50
29995,UGC05543,154.0856,4.8216,194.5,4,0.25,0.50,0.75,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.00,0.50
29997,UGC05540,154.0907,37.7802,18.8,8,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.50,0.25,0.25,1.00
30001,NGC3168,154.0959,60.2347,137.2,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
30018,UGC05541,154.2309,58.3950,35.5,9,0.00,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.75,0.00,NA,0.75,0.50,0.50
30027,UGC05542,154.2209,60.2849,134.0,-3,1.00,0.00,NA,0.50,0.00,0.25,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
30036,UGC05546,154.2722,54.8206,166.3,2,0.50,0.25,0.50,1.00,1.00,0.25,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.25
30042,UGC05551,154.2993,4.3308,19.0,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.75,0.00,NA,0.25,0.25,0.25
30044,UGC05549,154.3167,53.4619,195.8,3,0.50,0.25,0.75,0.00,0.25,0.25,0.25,0.00,0.25,0.25,NA,0.50,0.00,0.25
30078,NGC3179,154.4886,41.1143,105.5,-1,0.75,0.00,NA,0.75,0.25,0.75,0.50,0.75,0.00,0.00,NA,0.00,0.00,0.75
30084,UGC05553,154.5212,60.3466,118.6,4,0.50,NA,NA,NA,0.50,NA,NA,NA,0.00,0.75,0.00,0.25,0.00,1.00
30087,NGC3184,154.5708,41.4239,10.9,5,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.00
30094,UGC05558,154.5951,45.9545,110.3,2,0.50,NA,NA,NA,0.25,NA,NA,NA,0.00,0.75,0.25,0.25,0.00,1.00
30136,NGC3191,154.7717,46.4547,133.4,3,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.75,0.75,0.75,0.75,0.50,0.25
30151,PGC030151,154.8023,63.9674,180.4,-2,0.75,0.00,NA,NA,0.25,0.25,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.00
30153,UGC05564,154.8072,59.1309,310.0,3,0.50,NA,NA,NA,NA,NA,NA,NA,0.25,0.75,0.00,0.25,0.00,1.00
30176,NGC3182,154.8886,58.2055,33.6,-1,1.00,0.00,NA,0.50,0.00,0.25,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.25
30178,UGC05573,154.8965,6.3259,121.8,5,0.50,0.50,0.75,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50
30183,NGC3188,154.9285,57.4236,114.2,3,0.50,0.25,0.50,NA,0.75,1.00,0.25,0.50,0.50,0.50,0.50,0.50,0.00,0.00
30187,UGC05571,154.9255,52.0645,12.4,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.75,0.00,NA,0.25,0.25,0.25
30197,NGC3198,154.9785,45.5501,12.2,5,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.75
30217,UGC05578,155.0760,42.8216,102.3,5,0.25,0.25,1.00,NA,0.00,0.00,0.25,0.00,0.00,0.50,0.50,0.50,0.00,0.75
30236,NGC3202,155.1329,43.0213,98.0,2,0.50,0.50,0.50,1.00,0.75,0.75,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.25
30240,UGC05579,155.1575,57.2076,114.4,-1,0.75,0.00,NA,NA,0.00,0.25,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.50
30310,UGC05595,155.4095,12.5761,42.1,8,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.25
30322,NGC3206,155.4462,56.9297,19.7,6,0.25,0.75,0.25,1.00,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.50,0.25
30334,UGC05594,155.4814,48.0309,179.4,2,0.50,0.25,0.50,1.00,1.00,0.00,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.75
30364,UGC05607,155.6020,3.9972,97.2,3,0.50,0.50,0.50,0.00,0.25,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.75
30371,IC2568,155.6255,36.5991,116.3,0,0.75,0.00,NA,0.50,0.50,0.50,1.00,0.00,0.00,0.25,NA,0.25,0.00,0.50
30372,UGC05599,155.6477,43.8469,77.4,8,0.25,0.25,0.25,NA,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.25,0.50
30386,UGC05604,155.6703,46.2385,74.7,5,0.25,0.75,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50
30413,UGC05611,155.7808,41.8421,100.6,7,0.00,0.50,0.25,0.25,0.75,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.50
30419,NGC3214,155.7854,57.0378,113.3,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.75
30430,UGC05616,155.8417,9.9372,138.5,6,0.50,NA,NA,NA,0.00,NA,NA,NA,0.00,0.50,0.50,0.50,0.00,1.00
30449,UGC05613,155.8855,52.3413,140.0,6,0.50,NA,NA,NA,NA,NA,NA,NA,0.75,0.75,0.75,0.75,0.25,1.00
